run_id,repo,method,dataset,metric,value,n_samples,source
deepseek_eval_snapshot:DeepSeekMath-Instruct,DeepSeek-Math,deepseek-eval:DeepSeekMath-Instruct,gsm8k-test,tool/accuracy,0.8369977255496588,1319,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
deepseek_eval_snapshot:DeepSeekMath-RL,DeepSeek-Math,deepseek-eval:DeepSeekMath-RL,gsm8k-test,tool/accuracy,0.866565579984837,1319,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
deepseek_eval_snapshot:DeepSeekMath-Base,DeepSeek-Math,deepseek-eval:DeepSeekMath-Base,math-pal-test,tool/accuracy,0.3142,5000,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
deepseek_eval_snapshot:DeepSeekMath-Instruct,DeepSeek-Math,deepseek-eval:DeepSeekMath-Instruct,math-test,tool/accuracy,0.575,5000,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
deepseek_eval_snapshot:DeepSeekMath-RL,DeepSeek-Math,deepseek-eval:DeepSeekMath-RL,math-test,tool/accuracy,0.5878,5000,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
deepseek_eval_snapshot:DeepSeekMath-Instruct,DeepSeek-Math,deepseek-eval:DeepSeekMath-Instruct,mgsm-zh,tool/accuracy,0.72,250,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
deepseek_eval_snapshot:DeepSeekMath-RL,DeepSeek-Math,deepseek-eval:DeepSeekMath-RL,mgsm-zh,tool/accuracy,0.784,250,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
deepseek_eval_snapshot:DeepSeekMath-Instruct,DeepSeek-Math,deepseek-eval:DeepSeekMath-Instruct,cmath,tool/program_accuracy,0.8214936247723132,1098,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
deepseek_eval_snapshot:DeepSeekMath-RL,DeepSeek-Math,deepseek-eval:DeepSeekMath-RL,cmath,tool/program_accuracy,0.8570127504553734,1098,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
deepseek_eval_snapshot:DeepSeekMath-Instruct,DeepSeek-Math,deepseek-eval:DeepSeekMath-Instruct,gsm8k-test,tool/program_accuracy,0.8332069749810462,1319,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
deepseek_eval_snapshot:DeepSeekMath-RL,DeepSeek-Math,deepseek-eval:DeepSeekMath-RL,gsm8k-test,tool/program_accuracy,0.868081880212282,1319,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
deepseek_eval_snapshot:DeepSeekMath-Instruct,DeepSeek-Math,deepseek-eval:DeepSeekMath-Instruct,math-test,tool/program_accuracy,0.4664,5000,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
deepseek_eval_snapshot:DeepSeekMath-RL,DeepSeek-Math,deepseek-eval:DeepSeekMath-RL,math-test,tool/program_accuracy,0.509,5000,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
deepseek_eval_snapshot:DeepSeekMath-Instruct,DeepSeek-Math,deepseek-eval:DeepSeekMath-Instruct,mgsm-zh,tool/program_accuracy,0.716,250,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
deepseek_eval_snapshot:DeepSeekMath-RL,DeepSeek-Math,deepseek-eval:DeepSeekMath-RL,mgsm-zh,tool/program_accuracy,0.776,250,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
openr1_amsb,open-r1,amsb,train,train_samples,32.0,32,D:\Projects\M-SB-GRPO\compare\open-r1\data\Qwen2.5-Math-7B-Open-R1-AMSB-DryRun\dry_run_summary.json
openr1_mgrpo,open-r1,mgrpo,train,train_samples,32.0,32,D:\Projects\M-SB-GRPO\compare\open-r1\data\Qwen2.5-Math-7B-Open-R1-MGRPO-DryRun\dry_run_summary.json
openr1_seed,open-r1,seed,train,train_samples,32.0,32,D:\Projects\M-SB-GRPO\compare\open-r1\data\Qwen2.5-Math-7B-Open-R1-SEED-DryRun\dry_run_summary.json
openr1_vanilla,open-r1,vanilla,train,train_samples,32.0,32,D:\Projects\M-SB-GRPO\compare\open-r1\data\Qwen2.5-Math-7B-Open-R1-GRPO-DryRun\dry_run_summary.json
